Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
177974,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410,Rockaways,Summer 2013,06/01/2013,9.5
410848,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410,Rockaways,Annual Average 2016,12/31/2015,6
823218,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409,Southeast Queens,Winter 2021-22,12/01/2021,6.4
176692,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Annual Average 2013,12/01/2012,18.6
549806,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Annual Average 2017,01/01/2017,17.7
175369,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409,Southeast Queens,Winter 2010-11,12/01/2010,25.7
175915,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409,Southeast Queens,Summer 2009,06/01/2009,16.1
549872,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Annual Average 2017,01/01/2017,12.7
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Annual Average 2021,01/01/2021,11.4
175916,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Summer 2009,06/01/2009,8.6
336603,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Winter 2014-15,12/01/2014,20.7
178542,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2012,12/01/2011,9.7
177912,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2012,06/01/2012,12.3
177954,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2013,06/01/2013,12.2
334047,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404,Bayside - Little Neck,Winter 2014-15,12/01/2014,8.8
177772,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Summer 2009,06/01/2009,10.4
742215,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2021,01/01/2021,7.2
742257,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404,Bayside - Little Neck,Annual Average 2021,01/01/2021,6.3
178588,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Annual Average 2013,12/01/2012,10.4
177244,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Winter 2010-11,12/01/2010,14.4
410828,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404,Bayside - Little Neck,Winter 2015-16,12/01/2015,7.4
177856,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Summer 2011,06/01/2011,11.5
823275,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Winter 2021-22,12/01/2021,7.4
177916,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Summer 2012,06/01/2012,11.4
410800,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Annual Average 2016,12/31/2015,8.5
177958,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Summer 2013,06/01/2013,11.4
605693,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Annual Average 2018,01/01/2018,7.1
742193,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Summer 2021,06/01/2021,8.3
177905,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Summer 2012,06/01/2012,9.7
175354,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Winter 2010-11,12/01/2010,33.7
176698,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Annual Average 2013,12/01/2012,26.5
175364,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Winter 2010-11,12/01/2010,26.2
175896,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Summer 2009,06/01/2009,23.1
549854,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Annual Average 2017,01/01/2017,16.6
740946,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Annual Average 2021,01/01/2021,19
549824,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Annual Average 2017,01/01/2017,23.4
176656,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Annual Average 2012,12/01/2011,27.1
410767,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Annual Average 2016,12/31/2015,7.8
742214,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2021,06/01/2021,9.2
177898,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Summer 2012,06/01/2012,10.3
177940,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Summer 2013,06/01/2013,10.3
823296,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Winter 2021-22,12/01/2021,6.7
742172,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Summer 2021,06/01/2021,8.5
823317,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Winter 2021-22,12/01/2021,7.2
334155,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Winter 2014-15,12/01/2014,8.2
742205,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208,Canarsie - Flatlands,Summer 2021,06/01/2021,8
547411,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208,Canarsie - Flatlands,Annual Average 2017,01/01/2017,7
742269,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408,Jamaica,Annual Average 2021,01/01/2021,6.4
547441,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2017,01/01/2017,10.3
742236,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2021,01/01/2021,8.2
605681,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107,Hunts Point - Mott Haven,Annual Average 2018,01/01/2018,7.9
605735,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2018,01/01/2018,10.3
605765,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407,Southwest Queens,Annual Average 2018,01/01/2018,6.6
177962,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Summer 2013,06/01/2013,12
549803,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Annual Average 2017,01/01/2017,15.6
549833,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2017,01/01/2017,30.3
176712,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408,Jamaica,Annual Average 2013,12/01/2012,19
175904,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2009,06/01/2009,31.6
336567,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Winter 2014-15,12/01/2014,30.2
549836,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Annual Average 2017,01/01/2017,25.6
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2009,06/01/2009,18.6
742238,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308,Greenwich Village - SoHo,Summer 2021,06/01/2021,10.2
179584,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2,Brooklyn,Summer 2012,06/01/2012,10.4
179589,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2,Brooklyn,Summer 2013,06/01/2013,10.3
410725,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2,Brooklyn,Annual Average 2016,12/31/2015,7.8
823284,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208,Canarsie - Flatlands,Winter 2021-22,12/01/2021,6.4
334095,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202,Downtown - Heights - Slope,Winter 2014-15,12/01/2014,10.1
547510,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202,Downtown - Heights - Slope,Annual Average 2017,01/01/2017,8.4
174260,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Annual Average 2013,12/01/2012,9.5
173614,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Summer 2009,06/01/2009,11
547540,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Annual Average 2017,01/01/2017,7.8
173158,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102,Northeast Bronx,Winter 2010-11,12/01/2010,13.4
212818,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307,Gramercy Park - Murray Hill,Summer 2014,06/01/2014,12.4
825997,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408,Jamaica,Summer 2022,06/01/2022,10.5
412501,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Annual Average 2016,12/31/2015,30.1
176040,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408,Jamaica,Summer 2012,06/01/2012,16.2
740969,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2021,06/01/2021,17.9
825722,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Winter 2021-22,12/01/2021,24.7
177955,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301,Washington Heights,Summer 2013,06/01/2013,10.4
547390,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201,Greenpoint,Annual Average 2017,01/01/2017,9
177944,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201,Greenpoint,Summer 2013,06/01/2013,11.5
823305,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201,Greenpoint,Winter 2021-22,12/01/2021,7.4
549782,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Annual Average 2017,01/01/2017,21.2
549815,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301,Washington Heights,Annual Average 2017,01/01/2017,20.6
175361,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,401,Long Island City - Astoria,Winter 2010-11,12/01/2010,31.5
825775,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Summer 2022,06/01/2022,14.1
825742,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301,Washington Heights,Summer 2022,06/01/2022,13.5
823272,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301,Washington Heights,Winter 2021-22,12/01/2021,7.3
410851,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501,Port Richmond,Annual Average 2016,12/31/2015,7.3
605663,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101,Kingsbridge - Riverdale,Annual Average 2018,01/01/2018,7
334116,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,209,Bensonhurst - Bay Ridge,Winter 2014-15,12/01/2014,8.5
334122,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211,Williamsburg - Bushwick,Winter 2014-15,12/01/2014,10
547537,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211,Williamsburg - Bushwick,Annual Average 2017,01/01/2017,8.2
174259,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211,Williamsburg - Bushwick,Annual Average 2013,12/01/2012,9.4
825776,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Winter 2021-22,12/01/2021,23.7
412483,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301,Washington Heights,Annual Average 2016,12/31/2015,19.9
825743,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301,Washington Heights,Winter 2021-22,12/01/2021,21.2
176684,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Annual Average 2013,12/01/2012,22.9
175340,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Winter 2010-11,12/01/2010,32.2
336513,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Winter 2014-15,12/01/2014,26.8
547663,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),Annual Average 2017,01/01/2017,7.5
742458,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),Annual Average 2021,01/01/2021,6.5
168533,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),Winter 2010-11,12/01/2010,13.1
169302,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212,Williamsbridge and Baychester (CD12),Summer 2009,06/01/2009,10.2
742457,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),Summer 2021,06/01/2021,8.4
823560,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Winter 2021-22,12/01/2021,6.6
411121,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,410,South Ozone Park and Howard Beach (CD10),Annual Average 2016,12/31/2015,6.9
605957,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),Annual Average 2018,01/01/2018,6.9
742547,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2021,06/01/2021,7.8
169509,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Summer 2012,06/01/2012,10
169568,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Summer 2013,06/01/2013,10.1
178416,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2009,12/01/2008,11.4
825766,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,East New York,Summer 2022,06/01/2022,10.9
412492,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Annual Average 2016,12/31/2015,23.2
602765,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Annual Average 2018,01/01/2018,22.2
740957,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Summer 2021,06/01/2021,15.7
412438,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Annual Average 2016,12/31/2015,17.9
602753,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Annual Average 2018,01/01/2018,21
825734,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Winter 2021-22,12/01/2021,22.1
825788,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Winter 2021-22,12/01/2021,21.8
212811,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2014,06/01/2014,10.9
334003,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2015,01/01/2015,9.6
178402,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Annual Average 2009,12/01/2008,10.6
178486,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Annual Average 2011,12/01/2010,10.5
170418,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2013,12/01/2012,9.4
170430,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Annual Average 2013,12/01/2012,9.2
169474,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2012,06/01/2012,10.6
169533,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2013,06/01/2013,10.6
605948,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2018,01/01/2018,7.4
742448,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2021,06/01/2021,8.7
823172,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Winter 2021-22,12/01/2021,7.4
169511,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2012,06/01/2012,9.4
169570,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2013,06/01/2013,9.4
823491,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Winter 2021-22,12/01/2021,7.3
169521,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107,Upper West Side (CD7),Summer 2013,06/01/2013,11.4
169462,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107,Upper West Side (CD7),Summer 2012,06/01/2012,11.4
742538,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407,Flushing and Whitestone (CD7),Summer 2021,06/01/2021,8.3
823545,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407,Flushing and Whitestone (CD7),Winter 2021-22,12/01/2021,7
169334,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2009,06/01/2009,9.6
170455,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Annual Average 2013,12/01/2012,7.6
168567,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Winter 2010-11,12/01/2010,10.3
169285,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107,Upper West Side (CD7),Summer 2009,06/01/2009,12.1
176081,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2013,06/01/2013,16.6
602804,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Annual Average 2018,01/01/2018,17.2
334266,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304,Bushwick (CD4),Winter 2014-15,12/01/2014,9.4
605975,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304,Bushwick (CD4),Annual Average 2018,01/01/2018,7.5
823482,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304,Bushwick (CD4),Winter 2021-22,12/01/2021,7.3
742472,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303,Bedford Stuyvesant (CD3),Summer 2021,06/01/2021,8.8
411046,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303,Bedford Stuyvesant (CD3),Annual Average 2016,12/31/2015,8.1
547732,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,403,Jackson Heights (CD3),Annual Average 2017,01/01/2017,7.2
742473,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303,Bedford Stuyvesant (CD3),Annual Average 2021,01/01/2021,6.8
549749,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,2,Brooklyn,Annual Average 2017,01/01/2017,18.5
175892,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2009,06/01/2009,21.4
412469,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Winter 2015-16,12/01/2015,20.9
175956,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408,Jamaica,Summer 2010,06/01/2010,17.9
412533,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408,Jamaica,Summer 2016,06/01/2016,13.1
740965,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Winter 2020-21,12/01/2020,27
740935,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Winter 2020-21,12/01/2020,21.2
175934,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2010,06/01/2010,19
740966,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,Gramercy Park - Murray Hill,Summer 2021,06/01/2021,20.2
176544,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408,Jamaica,Annual Average 2009,12/01/2008,22.3
667682,375,Nitrogen dioxide (NO2),Mean,ppb,CD,304,Bushwick (CD4),Winter 2019-20,12/01/2019,27.7
166020,375,Nitrogen dioxide (NO2),Mean,ppb,CD,404,Elmhurst and Corona (CD4),Winter 2012-13,12/01/2012,26.7
336803,375,Nitrogen dioxide (NO2),Mean,ppb,CD,304,Bushwick (CD4),Summer 2015,06/01/2015,15.5
131425,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,208,Canarsie - Flatlands,2009-2011,01/01/2009,81.7
131445,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,407,Southwest Queens,2009-2011,01/01/2009,80
131424,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,207,East Flatbush - Flatbush,2009-2011,01/01/2009,115.8
628472,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,408,Jamaica,2015-2017,01/01/2015,69.6
628471,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,407,Southwest Queens,2015-2017,01/01/2015,43
168527,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204,Highbridge and Concourse (CD4),Winter 2010-11,12/01/2010,14.9
170415,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204,Highbridge and Concourse (CD4),Annual Average 2013,12/01/2012,10
547606,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Annual Average 2017,01/01/2017,8.4
742401,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Annual Average 2021,01/01/2021,7.6
547642,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,203,Morrisania and Crotona (CD3),Annual Average 2017,01/01/2017,7.9
606053,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Annual Average 2018,01/01/2018,6.7
605963,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212,Williamsbridge and Baychester (CD12),Annual Average 2018,01/01/2018,7
605915,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,108,Upper East Side (CD8),Annual Average 2018,01/01/2018,8.7
169566,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2013,06/01/2013,9.7
547759,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Annual Average 2017,01/01/2017,7.1
169332,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Summer 2009,06/01/2009,10.1
168565,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Winter 2010-11,12/01/2010,11.8
170453,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Annual Average 2013,12/01/2012,8.3
547669,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212,Williamsbridge and Baychester (CD12),Annual Average 2017,01/01/2017,7.4
742416,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,108,Upper East Side (CD8),Annual Average 2021,01/01/2021,7
336606,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,Port Richmond,Winter 2014-15,12/01/2014,22.7
412481,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301,Washington Heights,Winter 2015-16,12/01/2015,23.4
175970,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Summer 2011,06/01/2011,21.3
